productId, title, description, price, discount
1, Product 1,This is product 1,400,2
2,Product 2,This is product 3,500,3
3,Product 3,This is product 5,600,4
4,Product 4,This is product 7,700,5
5,Product 5,This is product 9,800,6
6,Product 6,This is product 11,900,7
7,Product 7,This is product 13,1000,8
8,Product 8,This is product 15,1100,9
9,Product 9,This is product 17,1200,10
10,Product 10,This is product 19,1300,11
11,Product 11,This is product 21,1400,12
12,Product 12,This is product 23,1500,13
13,Product 13,This is product 25,1600,14
14,Product 14,This is product 27,1700,15
15,Product 15,This is product 29,1800,16
16,Product 16,This is product 31,1900,17
17,Product 17,This is product 33,2000,18
18,Product 18,This is product 35,2100,19
19,Product 19,This is product 37,2200,20
20,Product 20,This is product 39,2300,21
21,Product 21,This is product 41,2400,22
22,Product 22,This is product 43,2500,23
23,Product 23,This is product 45,2600,24
24,Product 24,This is product 47,2700,25
25,Product 25,This is product 49,2800,26
26,Product 26,This is product 51,2900,27
27,Product 27,This is product 53,3000,28
28,Product 28,This is product 55,3100,29
29,Product 29,This is product 57,3200,30
30,Product 30,This is product 59,3300,31
31,Product 31,This is product 61,3400,32
32,Product 32,This is product 63,3500,33
33,Product 33,This is product 65,3600,34
34,Product 34,This is product 67,3700,35
35,Product 35,This is product 69,3800,36
36,Product 36,This is product 69,3800,36
37,Product 37,This is product 89,3800,36
38,Product 36,This is product 96,3800,36
39,Product 36,This is product 102,3800,36
40,Product 27,This is product 53,3000,28
41,Product 28,This is product 55,3100,29
42,Product 29,This is product 57,3200,30
43,Product 30,This is product 59,3300,31
44,Product 31,This is product 61,3400,32
45,Product 32,This is product 63,3500,33
46,Product 33,This is product 65,3600,34
47,Product 34,This is product 67,3700,35
48,Product 35,This is product 69,3800,36
49,Product 36,This is product 69,3800,36
50,Product 37,This is product 89,3800,36
51,Product 36,This is product 96,3800,36
52,Product 36,This is product 102,3800,36
55,Wireless Earbuds,Bluetooth 5.0 wireless earbuds with noise cancellation,49.99,10
56,Smartwatch,Fitness tracking smartwatch with heart rate monitor,99.99,15
57,Gaming Mouse,Ergonomic gaming mouse with customizable buttons,39.99,5
58,Mechanical Keyboard,RGB backlit mechanical keyboard with blue switches,79.99,20
59,Portable Speaker,Wireless Bluetooth speaker with deep bass,59.99,10
60,Smartphone Stand,Adjustable aluminum stand for phones and tablets,19.99,5
61,Laptop Cooling Pad,Cooling pad with dual fans for heat dissipation,29.99,10
62,Wireless Charger,Fast wireless charging pad for multiple devices,25.99,15
63,Noise Cancelling Headphones,Over-ear headphones with ANC and deep bass,129.99,20
64,Power Bank,10000mAh portable power bank with fast charging,39.99,10
